"GRUPA_ID","SEKCIJA_ID","PODSEKCIJA_ID","PASMINA_ID","FCI_BROJ","NAZIV","ENGLESKI_NAZIV","PODSEKCIJA","SEKCIJA","GRUPA","ZEMLJA_PODRIJETLA","ILUSTRACIJA"
"3","7","","113","246","CESKÝ TERIER","CESKY TERRIER","","Small sized Terriers","Terriers","CZECH REPUBLIC","http://www.fci.be/Nomenclature/Illustrations/246g03.jpg"
"3","7","","114","4","CAIRN TERRIER","CAIRN TERRIER","","Small sized Terriers","Terriers","GREAT BRITAIN","http://www.fci.be/Nomenclature/Illustrations/004g03.jpg"
"3","7","","115","168","DANDIE DINMONT TERRIER","DANDIE DINMONT TERRIER","","Small sized Terriers","Terriers","GREAT BRITAIN","http://www.fci.be/Nomenclature/Illustrations/168g03.jpg"
"3","7","","116","345","JACK RUSSELL TERRIER","JACK RUSSELL TERRIER","","Small sized Terriers","Terriers","GREAT BRITAIN","http://www.fci.be/Nomenclature/Illustrations/345g03-2.jpg"
"3","7","","117","272","NORFOLK TERRIER","NORFOLK TERRIER","","Small sized Terriers","Terriers","GREAT BRITAIN","http://www.fci.be/Nomenclature/Illustrations/272g03.jpg"
"3","7","","118","72","NORWICH TERRIER","NORWICH TERRIER","","Small sized Terriers","Terriers","GREAT BRITAIN","http://www.fci.be/Nomenclature/Illustrations/072g03.jpg"
"3","7","","119","73","SCOTTISH TERRIER","SCOTTISH TERRIER","","Small sized Terriers","Terriers","GREAT BRITAIN","http://www.fci.be/Nomenclature/Illustrations/073g03.jpg"
"3","7","","120","74","SEALYHAM TERRIER","SEALYHAM TERRIER","","Small sized Terriers","Terriers","GREAT BRITAIN","http://www.fci.be/Nomenclature/Illustrations/074g03.jpg"
"3","7","","121","75","SKYE TERRIER","SKYE TERRIER","","Small sized Terriers","Terriers","GREAT BRITAIN","http://www.fci.be/Nomenclature/Illustrations/075g03.jpg"
"3","7","","122","85","WEST HIGHLAND WHITE TERRIER","WEST HIGHLAND WHITE TERRIER","","Small sized Terriers","Terriers","GREAT BRITAIN","http://www.fci.be/Nomenclature/Illustrations/085g03.jpg"
"3","7","","123","259","NIHON TERIA","JAPANESE TERRIER","","Small sized Terriers","Terriers","JAPAN","http://www.fci.be/Nomenclature/Illustrations/259g03.jpg"
